reservedWords
SEMANTICKEYPHRASETABLE
SEMANTICSIMILARITYDETAILSTABLE
SEMANTICSIMILARITYTABLE
SESSION_USER
SET
SETUSER
SHUTDOWN
SOME
STATISTICS
SYSTEM_USER
TABLE
TABLESAMPLE
TEXTSIZE
THEN
TO
TOP
TRAN
TRANSACTION
TRIGGER
TRUNCATE
TRY_CONVERT
TSEQUAL
UNION
UNIQUE
UNPIVOT
UPDATE
UPDATETEXT
USE
USER
VALUES
VARYING
VIEW
WAITFOR
WHEN
WHERE
WHILE
WITH
WITHIN GROUP
WRITETEXT
OVERLAPS
PASCAL
POSITION
RELATIVE
ROWS
SCROLL
SECOND
SECTION
SESSION
SIZE
SMALLINT
SPACE
SQLCA
SQLCODE
SQLERROR
SQLSTATE
SQLWARNING
SUBSTRING
SUM
TEMPORARY
TIME
TIMESTAMP
TIMEZONE_HOUR
TIMEZONE_MINUTE
TRAILING
TRANSLATE
TRANSLATION
TRIM
TRUE
UNKNOWN
UPPER
USAGE
USING
VARCHAR
WHENEVER
WORK
WRITE
YEAR
ZONE
RELEASE
RESULT
RETURNS
ROLE
ROLLUP
ROUTINE
ROW
SAVEPOINT
SCOPE
SEARCH
SENSITIVE
SEQUENCE
SETS
SIMILAR
SPECIFIC
SPECIFICTYPE
SQLEXCEPTION
START
STATE
STATEMENT
STATIC
STDDEV_POP
STDDEV_SAMP
STRUCTURE
SUBMULTISET
SUBSTRING_REGEX
SYMMETRIC
SYSTEM
TERMINATE
THAN
TRANSLATE_REGEX
TREAT
UESCAPE
UNDER
UNNEST
VAR_POP
VAR_SAMP
VARIABLE
WIDTH_BUCKET
WITHOUT
WINDOW
WITHIN
XMLAGG
XMLATTRIBUTES
XMLBINARY
XMLCAST
XMLCOMMENT
XMLCONCAT
XMLDOCUMENT
XMLELEMENT
XMLEXISTS
XMLFOREST
XMLITERATE
XMLNAMESPACES
XMLPARSE
XMLPI
XMLQUERY
XMLSERIALIZE
XMLTABLE
XMLTEXT
XMLVALIDATE
